국가별,HDI_순위,인간개발지수,기대수명,평균교육기간,기대교육기간,1인당 GNI(달러)
스위스,2,0.944,83.5,13.4,16.2,57625
우크라이나,88,0.751,72.1,11.3,15,8130
영국,14,0.922,81.7,12.9,17.4,39116
몬테네그로,50,0.814,77.3,11.3,14.9,16779
세르비아,67,0.787,75.3,11.1,14.6,13019
아프리카,,,,,,
알제리,85,0.754,76.3,8,14.4,13802
앙골라,147,0.581,61.8,5.1,11.8,5790
베냉,163,0.515,61.2,3.6,12.6,2061
보츠와나,101,0.717,67.6,9.3,12.6,15534
부르키나파소,183,0.423,60.8,1.5,8.5,1650
부룬디,185,0.417,57.9,3,11.7,702
카메룬,151,0.556,58.6,6.3,12.2,3315
카보베르데,125,0.654,73,6.1,12.6,5983
중앙아프리카공화국,188,0.367,52.9,4.3,7.2,663
차드,186,0.404,53.2,2.3,8,1750
코모로,165,0.503,63.9,4.8,11.2,1399
콩고,137,0.606,65.1,6.3,11.4,5694
콩고민주공화국,176,0.457,60,6.8,9.8,796
코트디부아르,170,0.492,54.1,5.2,9,3481
지부티,172,0.476,62.6,4.1,6.2,3392
이집트,115,0.696,71.7,7.2,13.1,10355
적도기니,141,0.591,57.9,5.5,9.3,19513
에리트레아,179,0.44,65.5,4,5.4,1750
에티오피아,173,0.463,65.9,2.7,8.5,1719
가봉,110,0.702,66.5,8.2,12.8,16431
감비아,174,0.46,61.4,3.5,9.2,1516
가나,140,0.592,63,7.1,11.6,4096
기니,175,0.459,60.6,2.6,9.1,2067
기니비사우,177,0.455,57.8,3,10.5,1552
케냐,142,0.59,67.3,6.5,12.1,2961
레소토,159,0.52,54.6,6.3,10.6,3255
라이베리아,181,0.435,63,4.7,10,667
리비아,108,0.706,72.1,7.3,13.4,11100
마다가스카르,161,0.519,66.3,6.1,10.6,1358
말라위,171,0.477,63.7,4.5,10.8,1064
말리,182,0.427,58.5,2.3,7.7,1953
모리타니,159,0.52,63.4,4.5,8.6,3592
모리셔스,65,0.79,74.9,9.3,15.1,20189
모로코,123,0.667,76.1,5.5,12.4,7340
모잠비크,180,0.437,58.9,3.5,9.7,1093
나미비아,129,0.647,64.9,6.8,12.3,9387
니제르,189,0.354,60.4,2,5.4,906
나이지리아,157,0.532,53.9,6.2,10,5231
르완다,158,0.524,67.5,4.1,11.2,1811
상투메프린시페,143,0.589,66.8,6.3,12.5,2941
